,observationId,night,observationStartMJD,fiveSigmaDepth,filter,airmass,skyBrightness,seeingFwhmEff,fieldId,fieldRA,fieldDec
0,10033,13,59865.307442129626,22.04276346022089,y,1.3268093899394184,17.868655138861556,0.7347006337429097,138,72.000005,-70.93313200000001
1,10158,13,59865.36481481481,21.847938302584435,y,1.3625334075919766,17.829955624319208,0.8590262850500376,122,88.568878,-72.896915
2,10160,13,59865.36571759259,21.894638313003682,y,1.3156133599857955,17.861953672518098,0.8411532402760487,150,81.777206,-70.757749
3,10161,13,59865.36616898148,21.944466125489228,y,1.2679552422070082,17.897698471941435,0.8227360197871593,190,84.97254,-68.155026
4,10166,13,59865.3684375,21.90532601038823,y,1.277317106013949,17.8741080683901,0.8427513928272298,178,76.364237,-68.470535
5,12541,16,59868.33306712963,22.086906397339252,y,1.2736534185543298,17.96583125170834,0.7429747614613468,178,76.364237,-68.470535
6,12542,16,59868.333506944444,22.03885850050389,y,1.3193750515129605,17.93077145550536,0.7588645447110284,138,72.000005,-70.93313200000001
7,12551,16,59868.33755787037,21.93954288583502,y,1.3718181224508477,17.891985231573656,0.8103110558876944,122,88.568878,-72.896915
8,12552,16,59868.338009259256,21.994079744877414,y,1.3181740548434693,17.931266898280356,0.7911475701331093,150,81.777206,-70.757749
9,12553,16,59868.33844907407,22.04039662451988,y,1.2740866992547741,17.96503171196683,0.7751633521541521,190,84.97254,-68.155026
10,16592,21,59873.355462962965,23.19693933504117,u,1.268072416701899,22.6285726210794,0.9564989290333612,190,84.97254,-68.155026
11,16593,21,59873.35591435185,23.205140223260603,u,1.3177874767992246,22.600051207921076,0.9239999558158761,150,81.777206,-70.757749
12,16598,21,59873.35821759259,23.15304444647057,u,1.3598901216114045,22.534693061626328,0.9416012280389967,122,88.568878,-72.896915
13,17243,22,59874.28465277778,23.15004056120166,u,1.325926212232728,22.736894530739146,0.9871397963018128,138,72.000005,-70.93313200000001
14,17245,22,59874.28555555556,23.189837717963012,u,1.287848260198147,22.749198954259796,0.9700315601421814,178,76.364237,-68.470535
15,18140,23,59875.335497685184,23.17073357603381,u,1.268411542581644,22.75421022408733,0.9967875019852112,190,84.97254,-68.155026
16,18141,23,59875.33594907408,23.121195089318498,u,1.315430402091642,22.738122914846542,1.0187959216401392,150,81.777206,-70.757749
17,18830,24,59876.28766203704,23.22923463386216,u,1.3220440835014378,22.73781214087912,0.9194553398600478,138,72.000005,-70.93313200000001
18,18831,24,59876.28811342592,23.27121305580699,u,1.282003288170844,22.75114488554395,0.9026441267580216,178,76.364237,-68.470535
19,20380,26,59878.29275462963,23.950888224937813,i,1.2771582235880747,20.210534212500328,0.6628578972131115,178,76.364237,-68.470535
20,20381,26,59878.29319444444,23.91169402171174,i,1.3195575552345904,20.18025274417785,0.6759749695205945,138,72.000005,-70.93313200000001
21,21905,28,59880.2909375,22.193376048814986,y,1.3191561476293583,17.962153172434803,0.6674267916605704,138,72.000005,-70.93313200000001
22,21909,28,59880.29273148148,22.239519529326227,y,1.275277906969338,17.995930880464073,0.6540166641391741,178,76.364237,-68.470535
23,22708,30,59882.30997685185,22.363636018494134,y,1.3158454415394263,17.96430650799412,0.5714149181777305,150,81.777206,-70.757749
24,25614,37,59889.2628125,22.358336834386233,z,1.3195298671780844,18.664297643574095,1.2502658969264189,138,72.000005,-70.93313200000001
25,27490,40,59892.26267361111,21.853878408977483,y,1.3189875308075205,17.776627112878785,0.8403646527656454,138,72.000005,-70.93313200000001
26,27501,40,59892.267604166664,21.851534260259964,y,1.32012067665993,17.777502925650886,0.8423510323913318,150,81.777206,-70.757749
27,27502,40,59892.268055555556,21.899472093453525,y,1.27354798349363,17.810961841431535,0.8243926668671313,178,76.364237,-68.470535
28,27503,40,59892.26851851852,21.896992766229552,y,1.2766118285532846,17.81021076164759,0.8255820672656167,190,84.97254,-68.155026
29,27505,40,59892.269421296296,21.74460024473354,y,1.3736982977985448,17.740821954009473,0.9063921661844309,122,88.568878,-72.896915
30,33420,48,59900.29052083333,21.755633137690968,y,1.360094122898749,17.923361945249944,0.9752091283099648,122,88.568878,-72.896915
31,34009,49,59901.23761574074,23.826891871843916,r,1.2745816023319962,21.180806378677993,1.2848883953652936,178,76.364237,-68.470535
32,34010,49,59901.23806712963,23.81326713184684,r,1.318939165691943,21.152548669456948,1.2802180652049577,138,72.000005,-70.93313200000001
33,34020,49,59901.24255787037,23.767319154627696,r,1.3755012891467273,21.115763489120926,1.3078003359908894,122,88.568878,-72.896915
34,34021,49,59901.24300925926,23.81570218806283,r,1.320136272922604,21.150092796594738,1.275957185780263,150,81.777206,-70.757749
35,34022,49,59901.24346064815,23.85445030045329,r,1.2769776343427228,21.17755491600043,1.2507624026453013,190,84.97254,-68.155026
36,34713,50,59902.22388888889,23.8931821291447,r,1.2784981283072774,21.178318118834596,1.2070643207392175,178,76.364237,-68.470535
37,34718,50,59902.226122685184,23.91737767784154,r,1.319571117947793,21.1519887785737,1.1628215000737732,138,72.000005,-70.93313200000001
38,37559,54,59906.22571759259,24.196824381802628,r,1.3190732718491005,21.15135927563461,0.8987828302151367,138,72.000005,-70.93313200000001
39,40243,58,59910.19428240741,22.96106224990095,u,1.3224184895397364,22.734348679391665,1.1763154810307845,138,72.000005,-70.93313200000001
40,40331,58,59910.23673611111,23.209255431667337,u,1.2746250294076078,22.75132178543736,0.9589267236292703,178,76.364237,-68.470535
41,40332,58,59910.2371875,23.165822062491856,u,1.3156866223006645,22.73574710238708,0.9773439563913329,150,81.777206,-70.757749
42,40336,58,59910.23898148148,23.101599027785344,u,1.3635740527459048,22.720711184281953,1.0122377046694648,122,88.568878,-72.896915
43,40340,58,59910.24078703704,23.201082307182272,u,1.268330304178194,22.753082857537372,0.9692028769821251,190,84.97254,-68.155026
44,40937,66,59918.19018518519,22.043174667349327,y,1.2748814081465512,17.89160189458815,0.7483498696582931,178,76.364237,-68.470535
45,40938,66,59918.190625,21.99682034707228,y,1.3190281910154789,17.85790082959697,0.7637922744228284,138,72.000005,-70.93313200000001
46,40949,66,59918.195555555554,21.961605287248137,y,1.3205374883684968,17.85861964720982,0.7890257460416183,150,81.777206,-70.757749
47,40950,66,59918.19600694445,22.00672651918676,y,1.2775363386256782,17.891455949348504,0.7735077884763366,190,84.97254,-68.155026
48,40956,66,59918.1987037037,21.9097056728182,y,1.3734500773154616,17.82204169183629,0.80720975623236,122,88.568878,-72.896915
49,46498,74,59926.21528935185,22.006694276000243,y,1.359664294835917,17.8737962093868,0.7571171661528908,122,88.568878,-72.896915
50,47796,76,59928.18898148148,24.19790323982397,g,1.3636813703913333,21.879211639040946,1.208263085743494,122,88.568878,-72.896915
51,59467,96,59948.139872685184,21.88569360935356,y,1.268026088719265,17.89226341242241,0.8663992386586398,190,84.97254,-68.155026
52,59468,96,59948.1403125,21.83527555296773,y,1.3157758933048247,17.855426161567387,0.8858298359209301,150,81.777206,-70.757749
53,59476,96,59948.143912037034,21.69021111005238,y,1.3609721058106652,17.823349430634398,0.9906836933228758,122,88.568878,-72.896915
54,59481,96,59948.14619212963,21.82888805048593,y,1.2793584688584907,17.882345313939336,0.9072237767364272,178,76.364237,-68.470535
55,59482,96,59948.14664351852,21.77347941671852,y,1.3326573704868827,17.842444479683635,0.9297157283317499,138,72.000005,-70.93313200000001
56,60228,97,59949.16384259259,21.77954311170201,y,1.3611020525380018,17.78279797836765,0.8961117144864407,122,88.568878,-72.896915
57,60254,97,59949.17559027778,21.737735357374323,y,1.3329286224829062,17.802715912836074,0.9439766746717716,150,81.777206,-70.757749
58,60255,97,59949.176041666666,21.793486371274803,y,1.2792723213642354,17.842775338267426,0.9209900302400457,190,84.97254,-68.155026
59,60260,97,59949.17831018518,21.760423212543063,y,1.3101655040912972,17.817984448315833,0.9342709026180881,178,76.364237,-68.470535
60,60264,97,59949.18017361111,21.65805009764368,y,1.3732411077177464,17.7732259527083,0.9959452863738188,138,72.000005,-70.93313200000001
61,75309,120,59972.065462962964,23.075584095109654,z,1.274185883774525,19.15863840269777,0.8042530269117881,178,76.364237,-68.470535
62,75310,120,59972.06591435185,23.037606623720684,z,1.315810935337551,19.12860314194682,0.819915554247008,150,81.777206,-70.757749
63,75311,120,59972.06636574074,23.08101550036431,z,1.2694924946405264,19.16438391918358,0.8024742638538414,190,84.97254,-68.155026
64,75348,120,59972.08478009259,22.948629072458058,z,1.3601243387341513,19.098056424201033,0.8757188011934964,122,88.568878,-72.896915
65,217249,349,60201.4002662037,23.038018201502716,u,1.3211262312854073,21.947337231392215,0.9583379221906528,138,72.000005,-70.93313200000001
66,218077,350,60202.404016203705,23.434048937686892,i,1.3195983468429526,19.697254579860033,0.8549720845863343,138,72.000005,-70.93313200000001
67,230183,370,60222.381944444445,23.688534410568025,r,1.2744437362493373,20.104651930333418,0.9394882906500905,178,76.364237,-68.470535
68,230184,370,60222.38239583333,23.64081374701402,r,1.3155508804801637,20.058126707463423,0.9575546312628447,150,81.777206,-70.757749
69,230185,370,60222.38284722222,23.684247254769513,r,1.2689163501067606,20.087830348311066,0.9370413745627546,190,84.97254,-68.155026
70,235005,381,60233.373090277775,22.91596426101277,u,1.318531431095821,21.601812402795332,0.9919129120372686,150,81.777206,-70.757749
71,244084,394,60246.30128472222,22.57557711689737,z,1.2733499623858915,18.558770486506788,0.9796768103218095,178,76.364237,-68.470535
72,244085,394,60246.30173611111,22.532302137125168,z,1.319837256130556,18.524233719624686,1.0009822819426446,138,72.000005,-70.93313200000001
73,244087,394,60246.30262731481,22.53590831705004,z,1.3184630735747878,18.530099843374924,1.000356832574151,150,81.777206,-70.757749
74,244088,394,60246.303078703706,22.577160753726528,z,1.2744227727222208,18.563348773129746,0.9801719595323726,190,84.97254,-68.155026
75,244094,394,60246.30577546296,22.53662686497808,z,1.3697962556606977,18.49979732642832,0.9830544024395599,122,88.568878,-72.896915
76,244985,395,60247.34730324074,21.495360294266344,y,1.2721651325030023,17.844077401813145,1.2141383737409055,190,84.97254,-68.155026
77,244991,395,60247.35,21.40362924141015,y,1.3617117247758665,17.76408569231213,1.2562237550186235,122,88.568878,-72.896915
78,245737,396,60248.3308912037,21.747126265551405,y,1.268177157415262,17.897663678480765,0.9866742168325665,190,84.97254,-68.155026
79,245738,396,60248.331342592595,21.694289441369,y,1.318298127453725,17.85911383872406,1.0098898445101423,150,81.777206,-70.757749
80,245741,396,60248.33269675926,21.632248000110643,y,1.3598655639570025,17.82943743051208,1.0480323248397396,122,88.568878,-72.896915
81,249905,405,60257.26954861111,23.002379538649286,u,1.2735098024070588,22.75304698266832,1.161068504723427,178,76.364237,-68.470535
82,254900,413,60265.28412037037,24.55812214908341,g,1.2682886249752483,22.252877998051563,1.0025932104897828,190,84.97254,-68.155026
